Fläche;Raster;Rasterpunkt-Koordinaten [m];;;Momente [kNm/m];;;Querkräfte [kN/m];;Normalkräfte [kN/m];;
Nr.;Punkt;X;Y;Z;mx;my;mxy;vx;vy;nx;ny;nxy
238;1;1.150;-1.750;-3.749;0.00;0.00;0.00;0.00;0.03;0.00;0.00;0.00
239;1;1.150;-1.850;-3.767;0.00;0.00;0.00;0.00;0.03;0.00;0.00;0.00
240;1;1.150;-1.950;-3.785;0.00;0.00;0.00;0.00;0.03;0.00;0.00;0.00
241;1;1.250;-0.050;-3.471;-0.01;0.00;0.00;-0.05;0.08;0.01;0.00;0.00
242;1;1.250;-0.150;-3.488;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
243;1;1.250;-0.250;-3.505;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
244;1;1.250;-0.350;-3.523;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
245;1;1.250;-0.450;-3.540;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
246;1;1.250;-0.550;-3.557;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
247;1;1.250;-0.650;-3.574;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
248;1;1.250;-0.750;-3.591;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
249;1;1.250;-0.850;-3.609;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
250;1;1.250;-0.950;-3.626;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
251;1;1.250;-1.050;-3.643;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
252;1;1.250;-1.150;-3.660;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
253;1;1.250;-1.250;-3.677;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
254;1;1.250;-1.350;-3.695;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
255;1;1.250;-1.450;-3.712;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00
256;1;1.250;-1.550;-3.729;0.00;0.00;0.00;0.00;0.03;0.00;0.00;0.00
257;1;1.250;-1.650;-3.746;0.00;0.00;0.00;0.00;0.03;0.00;0.00;0.00
